Date,rstar (filtered),g (filtered),z (filtered),output gap (filtered),,All results are output from the Stage 3 model.,,,,,,,,,,,,,Standard Errors,Date,y*,r*,g,,rrgap,,Date,rstar (smoothed),g (smoothed),z (smoothed),output gap (smoothed)
1994-01-01,4.07627115836906,2.42791568590055,1.64835547246851,0.0247604776758976,,,,,,,,,,,,,,,,,,,,,-3.55230630436906,,1994-01-01,2.2342923823802,1.83362067550364,0.400671706876559,0.442314972734039
1994-04-01,4.43061273091342,2.08111244037342,2.34950029054,0.0864023134052445,,,,,,,,,,,,,,,,,,,,,-4.00675633091342,,1994-04-01,2.06599298259723,1.7969455587543,0.269047423842931,-0.440249016046948
1994-07-01,2.31757484915745,2.35898217183951,-0.0414073226820659,-0.243569089832931,,,,,,,,,,,,,,,,,,,,,-1.72564285515745,,1994-07-01,1.92453040716508,1.7753653055988,0.14916510156628,0.447464960817229
1994-10-01,1.17338344784837,2.02098779966604,-0.847604351817668,-0.543911827900899,,,,,,,,,,,,,,,,,,,,,-0.557150537848372,,1994-10-01,1.78817967505121,1.74062478393192,0.0475548911192896,-0.475279329253851
1995-01-01,1.87348701596372,2.02516664644768,-0.151679630483965,-0.302868077209951,,,,,,,,,,,,,,,,,,,,,-1.54721505196372,,1995-01-01,1.81338216986739,1.72244568140635,0.0909364884610378,-0.326819462697415
1995-04-01,1.81947635198152,2.19965263015397,-0.380176278172442,-0.194289178579766,,,,,,,,,,,,,,,,,,,,,-1.49081032898152,,1995-04-01,1.72628436951707,1.70200644767493,0.0242779218421389,0.313594250030292
1995-07-01,1.84228247581504,2.21621755672196,-0.373935080906919,-0.124448273261237,,,,,,,,,,,,,,,,,,,,,-1.67727654181504,,1995-07-01,1.49831344267417,1.67127719376696,-0.172963751092785,0.497416189770206
1995-10-01,1.18282782826924,2.09504155820487,-0.912213729935629,-0.263477784869963,,,,,,,,,,,,,,,,,,,,,-1.25874822326924,,1995-10-01,1.27664694695376,1.63830372815536,-0.361656781201591,0.235460257467821
1996-01-01,0.319928214261329,2.17371427557568,-1.85378606131435,-0.386706678814619,,,,,,,,,,,,,,,,,,,,,0.375453872738671,,1996-01-01,1.042953977051,1.61012737380498,-0.567173396753986,0.56997362383936
1996-04-01,0.901626887869074,2.26198267233072,-1.36035578446165,-0.178899653364169,,,,,,,,,,,,,,,,,,,,,-0.350064113869074,,1996-04-01,0.664765227938614,1.57662889112881,-0.9118636631902,0.994843815304762
1996-07-01,0.560225727697652,2.1525290651958,-1.59230333749815,-0.26564610171738,,,,,,,,,,,,,,,,,,,,,0.246167493302348,,1996-07-01,0.214927299123129,1.53655540416564,-1.32162810504251,0.783506097918064
1996-10-01,0.767916108258453,2.31279731199601,-1.54488120373755,-0.141828915580049,,,,,,,,,,,,,,,,,,,,,-0.00875498225845339,,1996-10-01,-0.341211096270341,1.49980070212418,-1.84101179839452,1.41034016007376
1997-01-01,0.13396095415785,2.33480890809398,-2.20084795393613,-0.269177513886973,,,,,,,,,,,,,,,,,,,,,0.40473941184215,,1997-01-01,-1.10160928651952,1.45245158498477,-2.55406087150429,1.60755043658878
1997-04-01,0.014940895732694,2.03012324756038,-2.01518235182768,-0.372504119791301,,,,,,,,,,,,,,,,,,,,,0.528816734267306,,1997-04-01,-1.8384348489602,1.40264971636994,-3.24108456533013,0.834687416398594
1997-07-01,0.710682732208741,2.00080380699511,-1.29012107478637,-0.1897175649014,,,,,,,,,,,,,,,,,,,,,-0.468430069208741,,1997-07-01,-2.50831974418365,1.3662336913667,-3.87455343555035,0.904454666508229
1997-10-01,0.112537070155608,1.88349397857754,-1.77095690842193,-0.337546699575739,,,,,,,,,,,,,,,,,,,,,0.0322955368443921,,1997-10-01,-3.20794364584809,1.32923562571039,-4.53717927155848,0.660930353058518
1998-01-01,-2.02159383315622,1.45360466118536,-3.47519849434158,-0.936528396449205,,,,,,,,,,,,,,,,,,,,,2.05227550115622,,1998-01-01,-3.70143206056242,1.2980278030216,-4.99945986358402,-0.603962069838531
1998-04-01,-2.5065545715669,1.2763217673981,-3.782876338965,-1.05480952115687,,,,,,,,,,,,,,,,,,,,,2.4671730635669,,1998-04-01,-3.90475234369074,1.28959458065494,-5.19434692434568,-1.0862841909842
1998-07-01,-2.62882445689578,1.26366311337261,-3.89248757026838,-1.03345834726798,,,,,,,,,,,,,,,,,,,,,2.54955156189578,,1998-07-01,-4.01958961906043,1.29036568017836,-5.30995529923879,-1.07415294146233
1998-10-01,-0.540935762284841,1.27313903432737,-1.81407479661221,-0.487786285489108,,,,,,,,,,,,,,,,,,,,,0.493606724284841,,1998-10-01,-4.15475643846869,1.29184566181068,-5.44660210027937,-0.924589338630369
1999-01-01,-0.243677124779058,1.04813895537365,-1.29181608015271,-0.443670743563644,,,,,,,,,,,,,,,,,,,,,0.264073463779058,,1999-01-01,-4.20285701935322,1.29215111906183,-5.49500813841505,-1.56754351418465
1999-04-01,-1.34867684176872,1.08988924928765,-2.43856609105636,-0.648491638033477,,,,,,,,,,,,,,,,,,,,,1.35137534776872,,1999-04-01,-4.13231673494636,1.30398690548247,-5.43630364042884,-1.47647794469384
1999-07-01,-2.08071264527056,1.01073641102909,-3.09144905629966,-0.80688255365834,,,,,,,,,,,,,,,,,,,,,2.00900169027056,,1999-07-01,-4.00942427566472,1.31522900939169,-5.32465328505641,-1.74325059883171
1999-10-01,-1.02516114684103,1.04481362159578,-2.06997476843681,-0.509772303470697,,,,,,,,,,,,,,,,,,,,,0.876046434841032,,1999-10-01,-3.82990135065637,1.33157715910662,-5.16147850976299,-1.6173389585465
